BandName,GUID,Pref1.date,Pref1.slot,Pref2.date,Pref2.slot,Pref3.date,Pref3.slot
穿袜子的恐龙,12bdc09,8月12日,,8月12日,,,
冰冷热带鱼,c242773,8月12日,5th,8月13日,5th,8月13日,3rd
Risky Whiskey 危士忌乐队,6fc0acc,8月11日,4th,8月11日,3rd,8月12日,3rd
Back Page 封底乐队,9ac6ac6,8月11日,5th,8月11日,6th,8月11日,7th
瞌睡海浪,ada5c0f,,,,,,
未命名,4d5c3ce,8月12日,4th,8月12日,5th,,3rd
chaos,c32c8e1,8月11日,4th,8月11日,3rd,8月12日,2nd
HVLV,bc465f4,8月11日,3rd,8月11日,4th,8月12日,4th
遐想,83ed8fe,8月12日,4th,8月13日,4th,8月11日,4th
一便士草莓地,7955a3f,8月11日,1st,8月11日,2nd,8月12日,1st
象鸟乐队,a82764b,8月11日,6th,,,,
翠湖jump,bedb490,8月11日,3rd,8月11日,4th,8月12日,3rd
DASH,12301f5,8月11日,7th,8月11日,6th,8月11日,5th
雷隼乐队,ad45051,8月11日,,8月12日,6th,8月13日,1st
代码复仇计划,4254c5c,,,,,,
无限主义,3b9d885,8月12日,3rd,8月11日,3rd,8月13日,3rd
没想法,2958b5f,8月12日,3rd,8月11日,5th,8月13日,7th
rerose,f0981ae,8月11日,3rd,8月11日,2nd,8月11日,5th
雷鸣憎恶,17f77aa,8月11日,2nd,8月12日,2nd,8月13日,2nd
